1;"02583037000115";"Warehouse Star Co.                                ";"Clothing                                          "
2;"18158679000107";"Market Johnson Ltd.                               ";"Food & Beverage                                   "
3;"04631639000126";"Market Star Ltd.                                  ";"Clothing                                          "
4;"34271950000172";"Market Smith Corp.                                ";"Health & Beauty                                   "
5;"48478583000197";"Market Global Co.                                 ";"Services                                          "
6;"79753573000146";"Market Express LLC                                ";"Electronics                                       "
7;"76156488000102";"Tech Solutions Inc.                               ";"Food & Beverage                                   "
8;"96475923000179";"Stores North Corp.                                ";"Health & Beauty                                   "
9;"07018041000154";"New South LLC                                     ";"Clothing                                          "
10;"63619882000198";"Tech Express Corp.                                ";"Health & Beauty                                   "
11;"54957635000100";"Warehouse Johnson LLC                             ";"Electronics                                       "
12;"63326422000171";"Bazaar Online Inc.                                ";"IT                                                "
13;"17559428000171";"Tech Johnson Ltd.                                 ";"Construction Materials                            "
14;"24816501000109";"Warehouse National Co.                            ";"Health & Beauty                                   "
15;"02592484000130";"Group South Corp.                                 ";"Home & Decor                                      "
16;"86603871000115";"Commercial Online Ltd.                            ";"Construction Materials                            "
17;"56452807000110";"Bazaar Online Inc.                                ";"Home & Decor                                      "
18;"16742870000176";"Emporium Plus Co.                                 ";"Health & Beauty                                   "
19;"05107597000191";"Distributor Solutions LLC                         ";"Food & Beverage                                   "
20;"31711931000121";"Warehouse National LLC                            ";"IT                                                "
21;"13539088000166";"Warehouse Global Co.                              ";"Electronics                                       "
22;"60831147000155";"Agency Star Corp.                                 ";"Home & Decor                                      "
23;"72601471000166";"Distributor South LLC                             ";"Health & Beauty                                   "
24;"75793431000151";"Group Global Co.                                  ";"IT                                                "
25;"26683630000100";"Bazaar Johnson Co.                                ";"Clothing                                          "
26;"38410065000188";"Tech Williams Corp.                               ";"IT                                                "
27;"26810784000107";"Market Johnson Co.                                ";"Electronics                                       "
28;"64661648000191";"Agency South Corp.                                ";"Home & Decor                                      "
29;"01547172000142";"Emporium Global LLC                               ";"Services                                          "
30;"81301458000182";"Bazaar Plus LLC                                   ";"IT                                                "
31;"88869563000161";"Market Williams Corp.                             ";"Services                                          "
32;"45523316000104";"Tech Solutions Ltd.                               ";"IT                                                "
33;"55260771000100";"Commercial South Co.                              ";"Services                                          "
34;"97911933000172";"Warehouse Williams Inc.                           ";"Services                                          "
35;"08351028000185";"Warehouse Online Inc.                             ";"IT                                                "
36;"36386486000195";"Emporium Global Co.                               ";"Food & Beverage                                   "
37;"31982493000136";"Market Express Co.                                ";"Clothing                                          "
38;"83346211000108";"Commercial Global LLC                             ";"Health & Beauty                                   "
39;"33768839000123";"Stores Williams Ltd.                              ";"Construction Materials                            "
40;"08517192000110";"Agency Williams LLC                               ";"Home & Decor                                      "
41;"11038797000132";"Group Center Corp.                                ";"Clothing                                          "
