1;1;319;1937.63;"Closed ";0;18;0;1
2;2;949;3579.14;Aproved;0;16;0;1
3;3;591;6312.22;Aproved;0;9;2;0
4;4;619;1348.15;Aproved;0;20;5;0
5;5;333;3790.05;"Closed ";0;10;3;0
6;6;481;4266.22;Pendent;0;14;3;0
7;7;444;4687.70;Pendent;0;10;2;0
8;8;292;11927.85;"Closed ";0;16;6;1
9;9;759;5599.69;Pendent;0;17;3;0
10;10;828;2910.24;Aproved;0;20;4;0
11;11;202;4342.23;Aproved;0;10;1;0
12;12;368;4422.84;"Closed ";0;18;3;0
13;13;895;453.57;Pendent;0;20;1;0
14;14;684;441.22;Aproved;0;14;6;1
15;15;891;3487.41;Aproved;0;15;2;0
16;16;31;10280.64;"Closed ";0;14;0;1
17;17;735;8636.66;Aproved;0;8;5;0
18;18;373;1962.54;Pendent;0;18;0;1
19;19;469;10931.72;Pendent;0;6;1;0
20;20;938;6737.66;Aproved;0;17;2;0
21;21;996;475.67;Aproved;0;9;1;0
22;22;625;6680.96;Aproved;0;13;0;1
23;23;658;1417.02;Pendent;0;10;6;1
24;24;675;11928.65;Aproved;0;14;2;0
25;25;16;3009.96;Pendent;0;14;0;1
26;26;762;9481.80;Pendent;0;15;6;1
27;27;689;2389.38;Pendent;0;9;3;0
28;28;256;7806.44;Pendent;0;16;3;0
29;29;207;1809.20;"Closed ";0;17;3;0
30;30;879;1079.53;Aproved;0;17;1;0
31;31;636;11837.99;Aproved;0;12;0;1
32;32;259;7407.61;Aproved;0;19;5;0
33;33;265;4110.95;Pendent;0;9;5;0
34;34;824;8499.58;Aproved;0;7;3;0
35;35;694;11431.89;Aproved;0;19;4;0
36;36;552;5029.98;Aproved;0;12;0;1
37;37;721;10317.42;Aproved;0;13;4;0
38;38;973;8806.01;Aproved;0;15;5;0
39;39;932;5423.38;Aproved;0;12;3;0
40;40;593;691.56;Pendent;0;9;4;0
41;41;909;7995.41;Aproved;0;20;3;0
42;42;964;8392.94;"Closed ";0;12;2;0
43;43;333;7769.89;Pendent;0;18;0;1
44;44;296;5438.94;Closed;0;16;6;1
45;45;58;10830.95;"Closed ";0;6;3;0
46;46;783;1735.31;"Closed ";0;18;5;0
47;47;603;9434.98;Pendent;0;8;4;0
48;11;72;3913.31;Aproved;0;13;1;0
49;48;371;5637.80;Pendent;0;13;0;1
50;49;494;9267.19;Pendent;0;11;6;1
51;50;721;10028.35;Pendent;0;7;1;0
52;45;741;1123.88;Aproved;0;10;0;1
53;51;732;8136.57;"Closed ";0;20;5;0
54;52;320;11558.21;Aproved;0;20;2;0
55;53;358;8985.77;Pendent;0;12;4;0
56;54;763;6569.00;Pendent;0;12;4;0
57;55;740;8412.95;Pendent;0;15;6;1
58;56;533;8272.17;Pendent;0;11;6;1
59;57;829;7932.10;Aproved;0;11;4;0
60;58;588;11138.93;"Closed ";0;20;6;1
61;59;953;10673.49;Aproved;0;6;6;1
62;60;690;1802.87;Aproved;0;9;6;1
63;61;872;4251.86;Closed;0;16;5;0
64;62;658;6833.82;Aproved;0;10;3;0
65;63;921;1262.67;Pendent;0;9;1;0
66;64;568;10757.47;Pendent;0;6;6;1
67;65;548;7132.14;Aproved;0;11;3;0
68;66;27;6564.68;Aproved;0;8;2;0
69;67;234;11121.54;Pendent;0;17;6;1
70;68;537;9710.53;Closed;0;13;2;0
71;69;160;8325.29;"Closed ";0;12;3;0
72;8;517;171.65;Aproved;0;8;6;1
73;70;500;5642.03;Closed;0;11;5;0
74;71;541;11055.48;Pendent;0;18;0;1
75;72;855;4310.30;Pendent;0;17;3;0
76;73;818;1046.37;Aproved;0;9;6;1
77;74;324;7840.71;Aproved;0;10;1;0
78;75;667;7642.99;Aproved;0;14;0;1
79;76;324;10806.28;Aproved;0;17;1;0
80;77;330;8499.31;Aproved;0;6;5;0
81;78;494;1748.16;Pendent;0;12;1;0
82;79;831;6024.78;Aproved;0;19;2;0
83;80;951;9899.10;Pendent;0;18;6;1
84;76;920;4768.33;Aproved;0;18;2;0
85;81;685;5838.13;Pendent;0;18;4;0
86;82;793;9219.69;Aproved;0;19;0;1
87;83;293;305.69;"Closed ";0;10;4;0
88;84;841;9517.36;"Closed ";0;19;5;0
89;85;88;3626.69;Aproved;0;12;6;1
90;86;77;2986.94;"Closed ";0;8;0;1
91;87;855;1242.02;"Closed ";0;6;3;0
92;74;610;12022.83;Pendent;0;10;1;0
93;88;593;9484.27;Pendent;0;17;6;1
94;89;592;10863.83;Aproved;0;20;0;1
95;90;526;7703.80;Closed;0;10;4;0
96;91;200;5687.43;Aproved;0;13;2;0
97;92;324;9568.01;Pendent;0;19;2;0
98;93;728;10547.51;Closed;0;12;1;0
99;94;798;11321.23;Closed;0;12;2;0
100;95;478;7045.89;Pendent;0;7;6;1
101;96;937;566.03;Pendent;0;19;5;0
102;97;612;12481.65;Pendent;0;19;4;0
103;98;79;1789.67;Pendent;0;9;4;0
104;99;918;1452.59;Aproved;0;15;2;0
105;100;24;10669.18;Pendent;0;17;5;0
