20101;Presidência da República;5249;198799
20116;Fundo de Imprensa Nacional;1267;78967
20301;Comissão Nacional de Energia Nuclear;5045;185776
20402;Agência Espacial Brasileira;4720;136813
20403;Fundação Casa de Rui Barbosa;3151;93289
20408;Fundação Cultural Palmares;1434;68182
20411;Instituto do Patrimônio Histórico e Artístico Nacional;2136;182559
20412;Fundação Nacional de Artes;5082;96747
20415;Empresa Brasil de Comunicação;3268;118622
20501;Conselho Nacional de Desenvolvimento Científico e Tecnológico;6411;145553
20603;Superintendência da Zona Franca de Manaus;4532;58631
20701;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;2829;117372
22000;Ministério da Agricultura e Pecuária - Unidades com vínculo direto;4850;66627
22201;Instituto Nacional de Colonização e Reforma Agrária;4725;76601
22202;Empresa Brasileira de Pesquisa Agropecuária;5589;84159
22203;Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;9037;137466
22204;Departamento Nacional de Obras Contra as Secas;8997;75319
22211;Companhia Nacional de Abastecimento;9072;126725
24000;Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;9535;87053
24208;Instituto Nacional de Tecnologia da Informação;2235;115859
24216;Telecomunicações Brasileiras S.A.;8582;111665
25000;Ministério da Fazenda - Unidades com vínculo direto;4840;139863
25201;Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;2142;85982
25203;Comissão de Valores Mobiliários;8388;64414
25205;Fundação Instituto Brasileiro de Geografia e Estatística;3250;106797
25208;Superintendência de Seguros Privados;5048;176844
25801;Receita Federal do Brasil;7055;181166
25915;Fundo Constitucional do Distrito Federal;2449;119481
26201;Colégio Pedro II;4153;100056
26230;Fundação Universidade Federal do Vale do São Francisco;9557;58625
26232;Universidade Federal da Bahia;7719;194332
26234;Universidade Federal do Espírito Santo;6575;196932
26235;Universidade Federal de Goiás;1372;134940
26236;Universidade Federal Fluminense;6881;168182
26237;Universidade Federal de Juiz de Fora;1165;175434
26238;Universidade Federal de Minas Gerais;3918;79581
26239;Universidade Federal do Pará;1746;172330
26241;Universidade Federal do Paraná;6759;130713
26242;Universidade Federal de Pernambuco;2096;186767
26243;Universidade Federal do Rio Grande do Norte;2557;121789
26244;Universidade Federal do Rio Grande do Sul;1528;114758
26245;Universidade Federal do Rio de Janeiro;5065;62906
26246;Universidade Federal de Santa Catarina;9420;50915
26247;Universidade Federal de Santa Maria;6629;188885
26248;Universidade Federal Rural de Pernambuco;8639;194888
26249;Universidade Federal Rural do Rio de Janeiro;4045;109718
26251;Fundação Universidade Federal do Tocantins;2561;171735
26254;Universidade Federal do Triângulo Mineiro;2222;118954
26255;Universidade Federal dos Vales do Jequitinhonha e Mucuri;8232;162850
26256;Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;1848;94606
26257;Centro Federal de Educação Tecnológica de Minas Gerais;1491;103020
26258;Universidade Tecnológica Federal do Paraná;3005;140175
26260;Universidade Federal de Alfenas;4123;88133
26261;Universidade Federal de Itajubá;2018;113130
